lon,lat,ssrd
95.19999695,5.5,18209360.92
95.30000305,5.199999809,17421655.8
95.30000305,5.300000191,17651432.21
95.30000305,5.400000095,17908450.19
95.30000305,5.5,18085103.75
95.30000305,5.800000191,18795770.43
95.30000305,5.900000095,18950160.69
95.40000153,4.900000095,17137211.08
95.40000153,5,17035160.24
95.40000153,5.099999905,17082457.31
95.40000153,5.199999809,17149760.01
95.40000153,5.300000191,17374472.69
95.40000153,5.400000095,17640264.95
95.40000153,5.5,17990595.09
95.40000153,5.599999905,18271065.75
95.5,4.800000191,17150144.59
95.5,4.900000095,16988468.55
95.5,5,16876995.33
95.5,5.099999905,16818317.35
95.5,5.199999809,16882222.87
95.5,5.300000191,17106928.43
95.5,5.400000095,17463468.94
95.5,5.5,17850163.91
95.5,5.599999905,18184149.12
95.59999847,4.699999809,17165748.85
95.59999847,4.800000191,16998339.61
95.59999847,4.900000095,16838607.87
95.59999847,5,16728843.93
95.59999847,5.099999905,16639470.21
95.59999847,5.199999809,16640381.83
95.59999847,5.300000191,16933458.38
95.59999847,5.400000095,17317867.2
95.59999847,5.5,17703137.78
95.59999847,5.599999905,18045797.55
95.69999695,2.799999952,17531868.42
95.69999695,4.599999905,17198980
95.69999695,4.699999809,17057416.43
95.69999695,4.800000191,16897015.22
95.69999695,4.900000095,16735666.78
95.69999695,5,16624236.3
95.69999695,5.099999905,16532220.33
95.69999695,5.199999809,16577387.92
95.69999695,5.300000191,16827547.43
95.69999695,5.400000095,17203224.7
95.69999695,5.5,17589955.28
95.69999695,5.599999905,17959835.27
95.80000305,2.700000048,17578823.63
95.80000305,2.799999952,17541404.75
95.80000305,4.5,17221578.04
95.80000305,4.599999905,17086637.91
95.80000305,4.699999809,16948998.54
95.80000305,4.800000191,16804401
95.80000305,4.900000095,16651463.62
95.80000305,5,16539997.53
95.80000305,5.099999905,16542034.42
95.80000305,5.199999809,16612328.35
95.80000305,5.300000191,16821557.85
95.80000305,5.400000095,17110261.51
95.80000305,5.5,17489962.7
95.90000153,2.700000048,17598615.61
95.90000153,2.799999952,17521313.65
95.90000153,4.400000095,17244268.67
95.90000153,4.5,17109036.53
95.90000153,4.599999905,16974146.25
95.90000153,4.699999809,16835082.49
95.90000153,4.800000191,16694366.42
95.90000153,4.900000095,16554113.29
95.90000153,5,16553607.63
95.90000153,5.099999905,16585927.17
95.90000153,5.199999809,16655829.4
95.90000153,5.300000191,16864489.14
95.90000153,5.400000095,17109008.04
96,2.599999905,17572492.19
96,2.700000048,17549124.98
96,2.799999952,17521242.43
96,4.300000191,17315132.36
96,4.400000095,17152316.8
96,4.5,16977977.87
96,4.599999905,16832910.28
96,4.699999809,16695292.28
96,4.800000191,16556078.96
96,4.900000095,16529941.3
96,5,16598611.42
96,5.099999905,16646784.49
96,5.199999809,16717071.29
96,5.300000191,16926115.62
96.09999847,2.599999905,17496543.41
96.09999847,2.700000048,17489720.55
96.09999847,4.199999809,17382755.55
96.09999847,4.300000191,17264274.31
96.09999847,4.400000095,17097790.93
96.09999847,4.5,16879537.88
96.09999847,4.599999905,16691994.81
96.09999847,4.699999809,16552019.43
96.09999847,4.800000191,16517990.61
96.09999847,4.900000095,16525974.35
96.09999847,5,16602336.21
96.09999847,5.099999905,16703140.7
96.09999847,5.199999809,16783277.21
96.19999695,2.5,17457685.89
96.19999695,2.599999905,17434347.17
96.19999695,4.199999809,17308152.82
96.19999695,4.300000191,17194386.33
96.19999695,4.400000095,17032325.7
96.19999695,4.5,16805697.2
96.19999695,4.599999905,16577437.77
96.19999695,4.699999809,16531102.18
96.19999695,4.800000191,16534713.02
96.19999695,4.900000095,16544313.45
96.19999695,5,16621309.17
96.19999695,5.099999905,16724114.93
96.19999695,5.199999809,16855814.57
96.30000305,2.5,17476616.11
96.30000305,4.099999905,17345265.45
96.30000305,4.199999809,17171560.39
96.30000305,4.300000191,17037902.2
96.30000305,4.400000095,16871511.41
96.30000305,4.5,16644106.62
96.30000305,4.599999905,16522862.05
96.30000305,4.699999809,16556812.52
96.30000305,4.800000191,16605939.93
96.30000305,4.900000095,16623524.1
96.30000305,5,16699907.33
96.30000305,5.099999905,16811993.03
96.30000305,5.199999809,16983091.45
96.40000153,2.400000095,17489371.58
96.40000153,2.5,17482961.79
96.40000153,3.900000095,17448334.73
96.40000153,4,17383083.16
96.40000153,4.099999905,17273625.47
96.40000153,4.199999809,17073383.91
96.40000153,4.300000191,16885705.51
96.40000153,4.400000095,16709927.95
96.40000153,4.5,16588569.43
96.40000153,4.599999905,16501987.53
96.40000153,4.699999809,16539769.63
96.40000153,4.800000191,16650138.94
96.40000153,4.900000095,16709984.93
96.40000153,5,16798504
96.40000153,5.099999905,16947118.34
96.5,2.400000095,17489457.04
96.5,3.799999952,17338385.62
96.5,3.900000095,17258569.6
96.5,4,17196786.43
96.5,4.099999905,17090149.04
96.5,4.199999809,16898959.52
96.5,4.300000191,16696225.26
96.5,4.400000095,16669311.3
96.5,4.5,16612912.35
96.5,4.599999905,16526316.21
96.5,4.699999809,16567118.03
96.5,4.800000191,16682002.67
96.5,4.900000095,16798226.25
96.5,5,16942788.18
96.5,5.099999905,17091908.17
96.59999847,3.799999952,16923395.03
96.59999847,3.900000095,16876603.62
96.59999847,4,16821586.34
96.59999847,4.099999905,16712392.16
96.59999847,4.199999809,16519585.94
96.59999847,4.300000191,16501830.85
96.59999847,4.400000095,16601153.96
96.59999847,4.5,16667096.37
96.59999847,4.599999905,16650231.52
96.59999847,4.699999809,16688049.23
96.59999847,4.800000191,16807712.72
96.59999847,4.900000095,16972971.12
96.59999847,5,17110197.41
96.59999847,5.099999905,17248470.64
96.59999847,5.199999809,17372207.9
96.69999695,3.799999952,16491874.32
96.69999695,3.900000095,16445168.38
96.69999695,4,16414372.94
96.69999695,4.099999905,16331636.91
96.69999695,4.199999809,16321124.87
96.69999695,4.300000191,16375764.69
96.69999695,4.400000095,16478257.09
96.69999695,4.5,16639683.87
96.69999695,4.599999905,16761540.93
96.69999695,4.699999809,16819585.06
96.69999695,4.800000191,16989223.48
96.69999695,4.900000095,17155578.66
96.69999695,5,17292520.08
96.69999695,5.099999905,17418101.93
96.69999695,5.199999809,17580604.13
96.80000305,3.799999952,16088862.89
96.80000305,3.900000095,16042890.52
96.80000305,4,16023169.76
96.80000305,4.099999905,16098563.03
96.80000305,4.199999809,16225612.01
96.80000305,4.300000191,16280664.91
96.80000305,4.400000095,16383769.8
96.80000305,4.5,16547938.54
96.80000305,4.599999905,16730567.45
96.80000305,4.699999809,16982756.72
96.80000305,4.800000191,17156775.16
96.80000305,4.900000095,17323244.29
96.80000305,5,17460527.56
96.80000305,5.099999905,17586130.78
96.80000305,5.199999809,17714575.67
96.90000153,3.700000048,15775339.13
96.90000153,3.799999952,15713278.21
96.90000153,3.900000095,15672241.37
96.90000153,4,15704902.76
96.90000153,4.099999905,15833796.34
96.90000153,4.199999809,16079469
96.90000153,4.300000191,16218411.69
96.90000153,4.400000095,16321559.31
96.90000153,4.5,16503953.19
96.90000153,4.599999905,16810134.19
96.90000153,4.699999809,17076802.45
96.90000153,4.800000191,17294905.94
96.90000153,4.900000095,17476808.41
96.90000153,5,17613771.18
96.90000153,5.099999905,17730058.86
96.90000153,5.199999809,17844231.3
97,3.599999905,15988435.87
97,3.700000048,15623897.37
97,3.799999952,15362534.99
97,3.900000095,15353440.22
97,4,15418926.82
97,4.099999905,15555782.77
97,4.199999809,15830185.5
97,4.300000191,16099417.67
97,4.400000095,16276876.02
97,4.5,16583576.92
97,4.599999905,16889729.43
97,4.699999809,17156397.69
97,4.800000191,17399784.2
97,4.900000095,17615423.48
97,5,17753518.66
97,5.099999905,17859280.04
97,5.199999809,17974940.98
97.09999847,2.099999905,17561631.17
97.09999847,3.5,16211866.59
97.09999847,3.599999905,15833418.87
97.09999847,3.700000048,15462064.64
97.09999847,3.799999952,15226469.58
97.09999847,3.900000095,15262093.72
97.09999847,4,15321405.56
97.09999847,4.099999905,15450356.11
97.09999847,4.199999809,15722622.24
97.09999847,4.300000191,16008170.87
97.09999847,4.400000095,16318283.2
97.09999847,4.5,16635417.8
97.09999847,4.599999905,16942766.81
97.09999847,4.699999809,17209335.36
97.09999847,4.800000191,17452793.09
97.09999847,4.900000095,17703116.41
97.09999847,5,17832978.57
97.09999847,5.099999905,17931361.59
97.09999847,5.199999809,18045370.23
97.19999695,1.399999976,17261689.03
97.19999695,2.200000048,17431704.91
97.19999695,3.299999952,16772501.66
97.19999695,3.400000095,16441087.49
97.19999695,3.5,16066920.08
97.19999695,3.599999905,15695387.8
97.19999695,3.700000048,15374820.4
97.19999695,3.799999952,15168176.18
97.19999695,3.900000095,15226035.14
97.19999695,4,15316213.64
97.19999695,4.099999905,15450861.77
97.19999695,4.199999809,15723199.13
97.19999695,4.300000191,16008940.04
97.19999695,4.400000095,16321388.39
97.19999695,4.5,16659860.44
97.19999695,4.599999905,16983155.55
97.19999695,4.699999809,17250286.74
97.19999695,4.800000191,17516128.85
97.19999695,4.900000095,17786222.78
97.19999695,5,17902432.11
97.19999695,5.099999905,17965632.56
97.30000305,1.299999952,17019983.3
